Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
2,explore_point,explore_point_-3.0_-2.5,Rover1,0.0,14.650000000000073
4,explore_point,explore_point_-3.0_-1.5,Rover1,15.200000000000081,22.10000000000018
3,explore_point,explore_point_-3.0_-2.0,Rover2,0.0,26.800000000000246
5,explore_point,explore_point_-3.0_-1.0,Rover1,22.650000000000187,27.80000000000026
7,explore_point,explore_point_-3.0_0.0,Rover1,28.350000000000268,36.05000000000009
6,explore_point,explore_point_-3.0_-0.5,Rover2,27.70000000000026,38.54999999999995
8,explore_point,explore_point_-3.0_0.5,Rover1,36.60000000000006,41.1499999999998
10,explore_point,explore_point_-3.0_1.5,Rover1,41.69999999999977,49.19999999999934
9,explore_point,explore_point_-3.0_1.0,Rover2,39.099999999999916,51.49999999999921
11,explore_point,explore_point_-3.0_2.0,Rover1,49.74999999999931,55.499999999998984
12,explore_point,explore_point_-3.0_2.5,Rover2,52.04999999999918,63.14999999999855
